Symptoms of mental illness,Unarmed/Did Not Have an Actual Weapon,Alleged Weapon,Fleeing,Body Camera,Victims gender,Victims race
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Hispanic
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White
No,Allegedly Armed,gun,Inputed NF,No,Male,White
Unknown,Allegedly Armed,knife,Not fleeing,No,Male,White
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,White
No,Unclear,undetermined,Car,No,Male,White
No,Allegedly Armed,gun,Inputed NF,Yes,Male,Hispanic
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race
No,Allegedly Armed,gun,Not fleeing,Yes,Male,Hispanic
Unknown,Allegedly Armed,knife,Not fleeing,No,Male,Hispanic
No,Allegedly Armed,gun,Foot,No,Male,White
Yes,Allegedly Armed,gun,Not fleeing,Yes,Male,White
No,Vehicle,vehicle,Foot,No,Male,Hispanic
No,Allegedly Armed,gun,Not fleeing,Yes,Male,White
No,Allegedly Armed,gun,Foot,Yes,Male,Native American
No,Allegedly Armed,gun,Foot,No,Male,Hispanic
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White
Yes,Allegedly Armed,knife,Foot,Yes,Male,White
Yes,Allegedly Armed,others,Inputed NF,Inputed No,Male,White
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,Black
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White
No,Vehicle,vehicle,Car,No,Male,White
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Foot,No,Male,White
No,Allegedly Armed,knife,Not fleeing,Yes,Male,Black
No,Allegedly Armed,knife,Foot,No,Male,Native American
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Foot,No,Male,White
Yes,Unclear,others,Foot,No,Male,Native American
Yes,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Black
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
Yes,Allegedly Armed,others,Not fleeing,Yes,Male,Hispanic
Yes,Unclear,undetermined,Inputed NF,Inputed No,Male,Black
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
Yes,Allegedly Armed,gun,Car,No,Male,White
No,Allegedly Armed,gun,Foot,No,Male,Black
No,Allegedly Armed,knife,Not fleeing,No,Male,Pacific Islander
No,Unarmed/Did Not Have an Actual Weapon,no object,Foot,No,Male,Black
No,Vehicle,vehicle,Car,No,Female,Hispanic
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
No,Allegedly Armed,gun,Car,No,Male,Black
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Foot,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Car,No,Male,Black
No,Allegedly Armed,knife,Not fleeing,No,Male,White
Yes,Unarmed/Did Not Have an Actual Weapon,no object,Foot,Yes,Male,Black
Unknown,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Hispanic
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Vehicle,vehicle,Inputed NF,Inputed No,Male,Hispanic
No,Vehicle,vehicle,Inputed NF,Inputed No,Male,Hispanic
No,Allegedly Armed,knife,Car,No,Male,Unknown race
Yes,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,White
No,Unclear,undetermined,Not fleeing,No,Male,Hispanic
No,Allegedly Armed,gun,Car,No,Male,White
No,Allegedly Armed,gun,Not fleeing,Yes,Male,Hispanic
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
Yes,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Inputed NF,No,Male,Black
No,Allegedly Armed,gun,Not fleeing,No,Female,White
Yes,Unarmed/Did Not Have an Actual Weapon,others,Foot,No,Male,Black
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,White
No,Allegedly Armed,knife,Not fleeing,No,Male,Hispanic
No,Allegedly Armed,gun,Car,No,Male,Native American
No,Allegedly Armed,gun,Foot,No,Male,Black
Yes,Vehicle,vehicle,Car,No,Male,White
No,Allegedly Armed,gun,Inputed NF,No,Male,Black
No,Allegedly Armed,gun,Foot,Yes,Male,Black
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Car,No,Male,Hispanic
No,Allegedly Armed,gun,Foot,No,Male,Unknown race
No,Allegedly Armed,knife,Not fleeing,No,Male,White
Unknown,Allegedly Armed,others,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Car,No,Male,Hispanic
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Asian
No,Vehicle,vehicle,Not fleeing,Yes,Male,White
No,Vehicle,vehicle,Not fleeing,No,Male,Black
No,Vehicle,vehicle,Car,No,Male,Black
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
Yes,Allegedly Armed,gun,Inputed NF,No,Male,Hispanic
Yes,Allegedly Armed,gun,Not fleeing,Yes,Male,Black
Yes,Allegedly Armed,gun,Foot,No,Male,White
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Yes,Male,Black
No,Allegedly Armed,gun,Car,No,Male,White
No,Allegedly Armed,knife,Not fleeing,No,Male,Black
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Car,No,Male,Black
Yes,Allegedly Armed,knife,Not fleeing,No,Male,Unknown race
Yes,Allegedly Armed,knife,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Not fleeing,Yes,Male,Hispanic
Unknown,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Female,White
No,Allegedly Armed,gun,Foot,No,Male,Black
No,Allegedly Armed,gun,Car,No,Male,Hispanic
Yes,Allegedly Armed,knife,Not fleeing,No,Male,Hispanic
Unknown,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White
Drug or alcohol use,Allegedly Armed,others,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Inputed NF,No,Male,Hispanic
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Other,No,Male,Unknown race
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
No,Allegedly Armed,gun,Not fleeing,Yes,Male,White
No,Vehicle,vehicle,Inputed NF,Inputed No,Male,Black
No,Vehicle,vehicle,Inputed NF,Inputed No,Male,Black
Yes,Allegedly Armed,gun,Car,No,Male,White
No,Allegedly Armed,knife,Not fleeing,No,Male,Native American
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White
Yes,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,Unknown race
Yes,Unclear,undetermined,Car,No,Male,White
No,Allegedly Armed,knife,Not fleeing,No,Male,Hispanic
Yes,Allegedly Armed,gun,Not fleeing,No,Female,Black
No,Unarmed/Did Not Have an Actual Weapon,no object,Other,No,Male,Hispanic
No,Vehicle,vehicle,Car,Yes,Male,Black
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Vehicle,vehicle,Not fleeing,No,Female,Black
No,Allegedly Armed,knife,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Car,No,Male,Hispanic
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,White
Yes,Unclear,others,Not fleeing,No,Male,Asian
Drug or alcohol use,Allegedly Armed,gun,Foot,No,Male,Native American
No,Allegedly Armed,gun,Not fleeing,No,Male,White
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Car,No,Male,Unknown race
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,knife,Not fleeing,No,Female,White
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White
Yes,Unarmed/Did Not Have an Actual Weapon,others,Inputed NF,Yes,Male,White
No,Allegedly Armed,gun,Foot,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Foot,No,Male,Black
No,Allegedly Armed,gun,Foot,No,Male,Unknown race
No,Allegedly Armed,gun,Inputed NF,No,Male,Unknown race
No,Allegedly Armed,knife,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
No,Unarmed/Did Not Have an Actual Weapon,no object,Car,No,Female,Hispanic
Yes,Unclear,undetermined,Inputed NF,No,Male,White
No,Allegedly Armed,gun,Car,No,Male,Hispanic
No,Allegedly Armed,others,Not fleeing,Yes,Male,Black
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
No,Allegedly Armed,gun,Foot,No,Male,Black
Yes,Allegedly Armed,gun,Inputed NF,No,Male,White
No,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,Unknown race
Yes,Allegedly Armed,others,Not fleeing,No,Male,White
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,White
No,Unclear,undetermined,Inputed NF,No,Female,White
No,Allegedly Armed,gun,Inputed NF,No,Female,Hispanic
No,Allegedly Armed,knife,Not fleeing,No,Male,Unknown race
No,Unarmed/Did Not Have an Actual Weapon,no object,Foot,No,Male,Pacific Islander
No,Unclear,undetermined,Inputed NF,No,Male,Hispanic
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Foot,No,Male,Hispanic
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Unclear,others,Inputed NF,No,Male,Unknown race
No,Allegedly Armed,gun,Not fleeing,Yes,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Vehicle,vehicle,Car,No,Female,White
Yes,Allegedly Armed,knife,Inputed NF,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Unclear,undetermined,Car,No,Male,White
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Car,Yes,Male,White
No,Allegedly Armed,gun,Foot,No,Male,White
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Hispanic
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Car,No,Male,Asian
No,Allegedly Armed,knife,Car,No,Male,Hispanic
No,Vehicle,vehicle,Car,Yes,Male,Black
Yes,Allegedly Armed,gun,Car,No,Male,Black
No,Vehicle,vehicle,Car,No,Male,White
No,Allegedly Armed,knife,Not fleeing,No,Male,Pacific Islander
No,Allegedly Armed,others,Not fleeing,No,Male,Black
No,Allegedly Armed,knife,Inputed NF,Inputed No,Male,White
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Black
Drug or alcohol use,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,Pacific Islander
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Foot,No,Female,Unknown race
No,Allegedly Armed,gun,Not fleeing,Yes,Male,Hispanic
No,Unarmed/Did Not Have an Actual Weapon,others,Inputed NF,Inputed No,Male,Unknown race
No,Allegedly Armed,gun,Car,No,Male,Black
No,Allegedly Armed,gun,Not fleeing,No,Male,Asian
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Car,No,Male,White
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White
No,Allegedly Armed,knife,Not fleeing,No,Male,Hispanic
Yes,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Black
No,Vehicle,vehicle,Inputed NF,Inputed No,Male,Black
No,Allegedly Armed,knife,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Car,No,Male,Black
No,Allegedly Armed,gun,Car,No,Male,Black
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,knife,Not fleeing,No,Male,Black
No,Unarmed/Did Not Have an Actual Weapon,others,Inputed NF,Inputed No,Male,White
No,Allegedly Armed,gun,Car,No,Male,Black
Drug or alcohol use,Allegedly Armed,gun,Foot,No,Male,Asian
Yes,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Hispanic
Unknown,Unclear,undetermined,Inputed NF,No,Male,White
Yes,Allegedly Armed,gun,Not fleeing,Yes,Male,Black
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Not fleeing,Yes,Male,Hispanic
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White
No,Allegedly Armed,knife,Not fleeing,No,Transgender,Unknown race
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Unclear,undetermined,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Car,Yes,Male,White
No,Allegedly Armed,knife,Not fleeing,Yes,Male,Hispanic
No,Allegedly Armed,gun,Not fleeing,No,Male,White
Yes,Allegedly Armed,knife,Not fleeing,No,Male,Unknown race
Yes,Allegedly Armed,knife,Not fleeing,Yes,Male,White
No,Unclear,undetermined,Inputed NF,No,Male,White
No,Unclear,undetermined,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Inputed NF,No,Male,White
No,Allegedly Armed,others,Inputed NF,Inputed No,Male,Black
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Foot,No,Male,Black
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Not fleeing,No,Male,White
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,White
Yes,Allegedly Armed,knife,Not fleeing,Yes,Male,White
No,Vehicle,vehicle,Car,Yes,Male,Hispanic
No,Allegedly Armed,knife,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
No,Vehicle,vehicle,Car,No,Male,Hispanic
No,Allegedly Armed,gun,Foot,No,Male,Unknown race
No,Allegedly Armed,gun,Foot,No,Male,White
No,Unclear,others,Not fleeing,No,Male,White
Yes,Allegedly Armed,gun,Car,Yes,Male,Hispanic
No,Vehicle,vehicle,Car,No,Male,Pacific Islander
No,Allegedly Armed,gun,Foot,No,Male,Black
No,Allegedly Armed,gun,Car,No,Male,White
No,Allegedly Armed,knife,Other,No,Male,White
No,Allegedly Armed,gun,Car,No,Male,Black
No,Allegedly Armed,gun,Car,No,Male,Unknown race
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,White
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Female,White
No,Unclear,others,Car,No,Male,Black
Drug or alcohol use,Vehicle,vehicle,Car,No,Male,Native American
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
No,Allegedly Armed,gun,Not fleeing,No,Male,White
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
No,Unclear,undetermined,Inputed NF,Inputed No,Male,White
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Hispanic
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Female,White
No,Unclear,undetermined,Car,No,Male,Hispanic
No,Allegedly Armed,gun,Foot,No,Male,Hispanic
Unknown,Allegedly Armed,knife,Inputed NF,No,Male,Black
Yes,Allegedly Armed,knife,Not fleeing,Yes,Male,White
No,Unarmed/Did Not Have an Actual Weapon,no object,Foot,No,Male,White
No,Unclear,undetermined,Inputed NF,No,Male,Native American
No,Unarmed/Did Not Have an Actual Weapon,no object,Foot,No,Male,Black
No,Unclear,undetermined,Car,No,Male,Hispanic
No,Unclear,undetermined,Inputed NF,Inputed No,Male,Unknown race
No,Allegedly Armed,gun,Foot,No,Male,White
Drug or alcohol use,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Hispanic
No,Allegedly Armed,others,Not fleeing,No,Male,White
Yes,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,White
No,Vehicle,vehicle,Car,No,Male,White
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Foot,No,Male,Black
No,Allegedly Armed,knife,Foot,No,Male,White
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White
Yes,Allegedly Armed,gun,Foot,Yes,Male,White
No,Unclear,undetermined,Car,No,Male,White
No,Vehicle,vehicle,Car,No,Male,Black
No,Vehicle,vehicle,Car,No,Female,White
Yes,Vehicle,vehicle,Car,No,Male,Unknown race
No,Allegedly Armed,gun,Foot,No,Male,Black
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black
No,Allegedly Armed,gun,Car,No,Male,White
No,Unarmed/Did Not Have an Actual Weapon,others,Foot,Yes,Male,Hispanic
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Foot,No,Male,Hispanic
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,knife,Foot,No,Male,Black
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
No,Unarmed/Did Not Have an Actual Weapon,no object,Car,No,Male,Hispanic
No,Allegedly Armed,gun,Inputed NF,Inputed No,Female,Hispanic
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
Yes,Allegedly Armed,knife,Not fleeing,No,Male,Unknown race
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Black
No,Unclear,undetermined,Inputed NF,No,Male,White
No,Allegedly Armed,others,Not fleeing,No,Male,White
No,Unarmed/Did Not Have an Actual Weapon,no object,Car,No,Male,Hispanic
Yes,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Foot,No,Male,Black
No,Allegedly Armed,gun,Other,No,Male,Black
No,Allegedly Armed,gun,Not fleeing,Yes,Male,Hispanic
No,Allegedly Armed,others,Not fleeing,No,Male,Unknown race
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race
No,Allegedly Armed,others,Car,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
Unknown,Allegedly Armed,others,Not fleeing,No,Male,Unknown race
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black
No,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Unknown race
Unknown,Allegedly Armed,others,Not fleeing,Yes,Male,White
No,Allegedly Armed,gun,Car,No,Male,Hispanic
No,Allegedly Armed,knife,Not fleeing,No,Male,White
Unknown,Unclear,undetermined,Inputed NF,Inputed No,Male,Hispanic
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Asian
Yes,Allegedly Armed,knife,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Car,No,Male,Black
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
Drug or alcohol use,Allegedly Armed,others,Not fleeing,No,Male,Hispanic
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
No,Allegedly Armed,knife,Not fleeing,No,Male,Unknown race
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Black
Yes,Allegedly Armed,gun,Not fleeing,Yes,Male,Black
No,Unarmed/Did Not Have an Actual Weapon,others,Car,No,Male,White
No,Vehicle,vehicle,Car,No,Male,White
Yes,Allegedly Armed,knife,Inputed NF,No,Male,White
No,Allegedly Armed,gun,Car,No,Male,Black
Drug or alcohol use,Allegedly Armed,gun,Not fleeing,No,Male,White
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
Unknown,Allegedly Armed,gun,Inputed NF,No,Male,Hispanic
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White
Unknown,Allegedly Armed,knife,Not fleeing,Yes,Male,Black
No,Allegedly Armed,others,Other,No,Male,White
No,Vehicle,vehicle,Foot,No,Male,Black
No,Allegedly Armed,gun,Foot,No,Male,White
No,Vehicle,vehicle,Car,No,Male,Black
No,Allegedly Armed,gun,Foot,No,Male,Pacific Islander
No,Allegedly Armed,gun,Car,No,Male,White
Unknown,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race
No,Allegedly Armed,knife,Not fleeing,Yes,Male,Unknown race
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race
No,Unclear,undetermined,Inputed NF,Inputed No,Male,Hispanic
Unknown,Allegedly Armed,others,Inputed NF,Inputed No,Male,Black
No,Allegedly Armed,others,Not fleeing,No,Male,White
Yes,Allegedly Armed,others,Inputed NF,Inputed No,Male,Unknown race
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,knife,Not fleeing,No,Male,White
No,Unclear,undetermined,Inputed NF,Inputed No,Male,Unknown race
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,others,Inputed NF,Inputed No,Male,Black
Unknown,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White
No,Allegedly Armed,knife,Inputed NF,Inputed No,Male,White
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,White
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Black
No,Vehicle,vehicle,Car,No,Male,Black
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
No,Vehicle,vehicle,Car,No,Female,Hispanic
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
No,Allegedly Armed,gun,Car,Yes,Male,Pacific Islander
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
Yes,Allegedly Armed,gun,Not fleeing,Inputed No,Male,Unknown race
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
No,Allegedly Armed,others,Not fleeing,No,Male,White
Drug or alcohol use,Allegedly Armed,knife,Inputed NF,Inputed No,Male,White
No,Allegedly Armed,gun,Car,No,Male,Unknown race
No,Allegedly Armed,gun,Inputed NF,No,Male,White
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Female,White
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Female,White
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Female,White
Unknown,Unclear,undetermined,Not fleeing,No,Male,Unknown race
No,Allegedly Armed,gun,Car,No,Male,White
No,Allegedly Armed,knife,Inputed NF,Inputed No,Male,White
No,Allegedly Armed,gun,Foot,No,Female,Black
No,Unclear,undetermined,Car,No,Male,Black
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Unclear,undetermined,Inputed NF,Inputed No,Male,Black
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
Yes,Allegedly Armed,knife,Not fleeing,No,Female,Black
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White
Yes,Allegedly Armed,gun,Inputed NF,Yes,Male,White
No,Allegedly Armed,knife,Not fleeing,No,Male,Hispanic
Yes,Allegedly Armed,knife,Not fleeing,No,Male,Unknown race
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race
Unknown,Vehicle,vehicle,Inputed NF,Inputed No,Male,Unknown race
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race
Unknown,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race
Unknown,Unarmed/Did Not Have an Actual Weapon,others,Inputed NF,Inputed No,Male,Black
No,Unarmed/Did Not Have an Actual Weapon,others,Inputed NF,Inputed No,Male,Hispanic
No,Allegedly Armed,gun,Foot,No,Male,Hispanic
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,White
No,Vehicle,vehicle,Car,No,Male,Black
No,Allegedly Armed,knife,Car,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Female,White
No,Allegedly Armed,gun,Not fleeing,No,Female,Black
No,Allegedly Armed,gun,Not fleeing,No,Female,Asian
Yes,Allegedly Armed,knife,Foot,No,Male,Black
Unknown,Allegedly Armed,gun,Inputed NF,Inputed No,Female,Unknown race
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White
No,Unclear,undetermined,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race
No,Allegedly Armed,gun,Car,No,Male,White
Drug or alcohol use,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Unknown race
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,vehicle,Inputed NF,Inputed No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
Unknown,Allegedly Armed,knife,Car,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
No,Allegedly Armed,vehicle,Inputed NF,Inputed No,Male,Hispanic
No,Unclear,others,Not fleeing,No,Male,Hispanic
No,Allegedly Armed,gun,Car,No,Male,White
Yes,Allegedly Armed,gun,Not fleeing,Yes,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
No,Unclear,undetermined,Inputed NF,Inputed No,Male,Unknown race
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black
No,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Hispanic
No,Allegedly Armed,gun,Foot,No,Male,Hispanic
No,Allegedly Armed,knife,Not fleeing,No,Male,Black
Unknown,Allegedly Armed,knife,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Foot,No,Male,White
No,Allegedly Armed,others,Inputed NF,Inputed No,Male,Unknown race
No,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,Yes,Male,Hispanic
No,Allegedly Armed,gun,Not fleeing,Inputed No,Male,Hispanic
No,Allegedly Armed,vehicle,Inputed NF,Inputed No,Male,Unknown race
No,Allegedly Armed,knife,Not fleeing,Yes,Male,Black
No,Allegedly Armed,others,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Not fleeing,Inputed No,Male,White
Yes,Unclear,others,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Car,Inputed No,Male,Unknown race
No,Allegedly Armed,gun,Not fleeing,Yes,Male,Hispanic
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
