Symptoms of mental illness,Unarmed/Did Not Have an Actual Weapon,Alleged Weapon,Fleeing,Body Camera,Victims gender,Victims race,Cluster
Unknown,Allegedly Armed,others,Not fleeing,No,Male,Unknown race,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race,0
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black,2
No,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Unknown race,2
Unknown,Allegedly Armed,others,Not fleeing,Yes,Male,White,0
No,Allegedly Armed,gun,Car,No,Male,Hispanic,0
No,Allegedly Armed,knife,Not fleeing,No,Male,White,0
Unknown,Unclear,undetermined,Inputed NF,Inputed No,Male,Hispanic,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Asian,2
Yes,Allegedly Armed,knife,Not fleeing,No,Male,Black,1
No,Allegedly Armed,gun,Car,No,Male,Black,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic,0
Drug or alcohol use,Allegedly Armed,others,Not fleeing,No,Male,Hispanic,0
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race,0
No,Allegedly Armed,knife,Not fleeing,No,Male,Unknown race,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Black,1
Yes,Allegedly Armed,gun,Not fleeing,Yes,Male,Black,1
No,Unarmed/Did Not Have an Actual Weapon,others,Car,No,Male,White,0
No,Vehicle,vehicle,Car,No,Male,White,0
Yes,Allegedly Armed,knife,Inputed NF,No,Male,White,1
No,Allegedly Armed,gun,Car,No,Male,Black,0
Drug or alcohol use,Allegedly Armed,gun,Not fleeing,No,Male,White,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic,1
Unknown,Allegedly Armed,gun,Inputed NF,No,Male,Hispanic,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
Unknown,Allegedly Armed,knife,Not fleeing,Yes,Male,Black,0
No,Allegedly Armed,others,Other,No,Male,White,0
No,Vehicle,vehicle,Foot,No,Male,Black,0
No,Allegedly Armed,gun,Foot,No,Male,White,0
No,Vehicle,vehicle,Car,No,Male,Black,0
No,Allegedly Armed,gun,Foot,No,Male,Pacific Islander,0
No,Allegedly Armed,gun,Car,No,Male,White,0
Unknown,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race,2
No,Allegedly Armed,knife,Not fleeing,Yes,Male,Unknown race,0
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race,2
No,Unclear,undetermined,Inputed NF,Inputed No,Male,Hispanic,2
Unknown,Allegedly Armed,others,Inputed NF,Inputed No,Male,Black,2
No,Allegedly Armed,others,Not fleeing,No,Male,White,0
Yes,Allegedly Armed,others,Inputed NF,Inputed No,Male,Unknown race,2
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
No,Allegedly Armed,knife,Not fleeing,No,Male,White,0
No,Unclear,undetermined,Inputed NF,Inputed No,Male,Unknown race,2
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
No,Allegedly Armed,others,Inputed NF,Inputed No,Male,Black,2
Unknown,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,knife,Inputed NF,Inputed No,Male,White,2
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,White,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Black,1
No,Vehicle,vehicle,Car,No,Male,Black,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic,0
No,Vehicle,vehicle,Car,No,Female,Hispanic,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic,0
No,Allegedly Armed,gun,Car,Yes,Male,Pacific Islander,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic,1
Yes,Allegedly Armed,gun,Not fleeing,Inputed No,Male,Unknown race,1
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic,0
No,Allegedly Armed,others,Not fleeing,No,Male,White,0
Drug or alcohol use,Allegedly Armed,knife,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Car,No,Male,Unknown race,0
No,Allegedly Armed,gun,Inputed NF,No,Male,White,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race,1
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Female,White,3
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Female,White,3
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Female,White,3
Unknown,Unclear,undetermined,Not fleeing,No,Male,Unknown race,0
No,Allegedly Armed,gun,Car,No,Male,White,0
No,Allegedly Armed,knife,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Foot,No,Female,Black,0
No,Unclear,undetermined,Car,No,Male,Black,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic,0
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
No,Unclear,undetermined,Inputed NF,Inputed No,Male,Black,2
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White,1
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race,0
Yes,Allegedly Armed,knife,Not fleeing,No,Female,Black,1
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
Yes,Allegedly Armed,gun,Inputed NF,Yes,Male,White,1
No,Allegedly Armed,knife,Not fleeing,No,Male,Hispanic,0
Yes,Allegedly Armed,knife,Not fleeing,No,Male,Unknown race,1
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race,2
Unknown,Vehicle,vehicle,Inputed NF,Inputed No,Male,Unknown race,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race,2
Unknown,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race,2
Unknown,Unarmed/Did Not Have an Actual Weapon,others,Inputed NF,Inputed No,Male,Black,3
No,Unarmed/Did Not Have an Actual Weapon,others,Inputed NF,Inputed No,Male,Hispanic,3
No,Allegedly Armed,gun,Foot,No,Male,Hispanic,0
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
No,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,White,0
No,Vehicle,vehicle,Car,No,Male,Black,0
No,Allegedly Armed,knife,Car,No,Male,White,0
No,Allegedly Armed,gun,Not fleeing,No,Female,White,0
No,Allegedly Armed,gun,Not fleeing,No,Female,Black,0
No,Allegedly Armed,gun,Not fleeing,No,Female,Asian,0
Yes,Allegedly Armed,knife,Foot,No,Male,Black,1
Unknown,Allegedly Armed,gun,Inputed NF,Inputed No,Female,Unknown race,2
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White,1
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White,1
No,Unclear,undetermined,Not fleeing,No,Male,White,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race,2
No,Allegedly Armed,gun,Car,No,Male,White,0
Drug or alcohol use,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Unknown race,2
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
No,Allegedly Armed,vehicle,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
Unknown,Allegedly Armed,knife,Car,No,Male,White,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
No,Allegedly Armed,vehicle,Inputed NF,Inputed No,Male,Hispanic,2
No,Unclear,others,Not fleeing,No,Male,Hispanic,0
No,Allegedly Armed,gun,Car,No,Male,White,0
Yes,Allegedly Armed,gun,Not fleeing,Yes,Male,White,1
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
No,Unclear,undetermined,Inputed NF,Inputed No,Male,Unknown race,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black,2
No,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Hispanic,2
No,Allegedly Armed,gun,Foot,No,Male,Hispanic,0
No,Allegedly Armed,knife,Not fleeing,No,Male,Black,0
Unknown,Allegedly Armed,knife,Not fleeing,No,Male,White,0
No,Allegedly Armed,gun,Foot,No,Male,White,0
No,Allegedly Armed,others,Inputed NF,Inputed No,Male,Unknown race,2
No,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,Yes,Male,Hispanic,0
No,Allegedly Armed,gun,Not fleeing,Inputed No,Male,Hispanic,0
No,Allegedly Armed,vehicle,Inputed NF,Inputed No,Male,Unknown race,2
No,Allegedly Armed,knife,Not fleeing,Yes,Male,Black,0
No,Allegedly Armed,others,Not fleeing,No,Male,Black,0
No,Allegedly Armed,gun,Not fleeing,Inputed No,Male,White,0
Yes,Unclear,others,Not fleeing,No,Male,Black,1
No,Allegedly Armed,gun,Car,Inputed No,Male,Unknown race,2
No,Allegedly Armed,gun,Not fleeing,Yes,Male,Hispanic,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic,0
No,Unclear,undetermined,Not fleeing,No,Male,White,0
No,Vehicle,vehicle,Inputed NF,Inputed No,Female,Hispanic,2
No,Vehicle,vehicle,Inputed NF,Inputed No,Male,Hispanic,2
No,Vehicle,vehicle,Inputed NF,Inputed No,Male,Hispanic,2
No,Allegedly Armed,gun,Not fleeing,Inputed No,Male,Unknown race,0
No,Allegedly Armed,gun,Not fleeing,Yes,Male,Native American,0
No,Allegedly Armed,gun,Inputed NF,Yes,Male,White,2
No,Allegedly Armed,gun,Foot,No,Male,Unknown race,0
Yes,Allegedly Armed,gun,Not fleeing,Inputed No,Male,Unknown race,1
No,Vehicle,vehicle,Car,No,Male,Hispanic,0
No,Allegedly Armed,gun,Car,Yes,Male,White,0
No,Allegedly Armed,knife,Inputed NF,No,Male,White,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Pacific Islander,1
No,Vehicle,vehicle,Car,No,Male,Black,0
Yes,Allegedly Armed,knife,Not fleeing,No,Female,Unknown race,1
Yes,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,White,3
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
No,Vehicle,vehicle,Car,No,Male,Hispanic,0
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
No,Unclear,undetermined,Not fleeing,No,Male,Black,0
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race,2
No,Allegedly Armed,others,Foot,No,Male,White,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
Yes,Allegedly Armed,knife,Not fleeing,Yes,Male,White,1
No,Allegedly Armed,knife,Not fleeing,No,Male,Hispanic,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
No,Unclear,undetermined,Not fleeing,No,Female,White,0
No,Unclear,undetermined,Not fleeing,No,Male,White,0
No,Unclear,undetermined,Foot,No,Male,Unknown race,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race,0
No,Vehicle,vehicle,Not fleeing,No,Male,Black,0
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
No,Unclear,undetermined,Car,No,Male,White,0
No,Allegedly Armed,gun,Not fleeing,No,Female,White,0
No,Vehicle,vehicle,Car,No,Male,Black,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
No,Allegedly Armed,knife,Not fleeing,No,Male,Black,0
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
Yes,Unclear,others,Not fleeing,No,Male,Hispanic,1
Yes,Unclear,others,Car,No,Male,White,1
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
No,Allegedly Armed,knife,Not fleeing,No,Male,White,0
No,Allegedly Armed,knife,Not fleeing,No,Male,Unknown race,0
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,White,0
No,Allegedly Armed,others,Not fleeing,Inputed No,Male,Hispanic,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic,1
No,Unclear,others,Car,No,Male,Black,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic,0
No,Allegedly Armed,knife,Not fleeing,No,Male,Hispanic,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Asian,0
No,Allegedly Armed,knife,Not fleeing,No,Male,White,0
No,Allegedly Armed,gun,Other,No,Male,Black,0
Yes,Allegedly Armed,knife,Not fleeing,Yes,Male,White,1
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
No,Allegedly Armed,gun,Foot,No,Male,Hispanic,0
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,White,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
No,Unclear,undetermined,Not fleeing,Yes,Male,White,0
No,Unclear,others,Car,No,Male,White,0
Yes,Unclear,others,Not fleeing,Yes,Male,Black,1
No,Allegedly Armed,gun,Foot,No,Male,Hispanic,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race,1
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
Yes,Allegedly Armed,others,Not fleeing,No,Male,Asian,1
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic,0
No,Allegedly Armed,gun,Foot,No,Male,Black,0
No,Unarmed/Did Not Have an Actual Weapon,no object,Foot,No,Male,Hispanic,3
No,Vehicle,vehicle,Car,No,Male,White,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race,1
No,Unclear,undetermined,Not fleeing,No,Male,Asian,0
Yes,Vehicle,vehicle,Not fleeing,No,Male,Black,1
No,Allegedly Armed,knife,Not fleeing,No,Male,White,0
No,Unarmed/Did Not Have an Actual Weapon,no object,Foot,No,Male,Black,3
No,Allegedly Armed,gun,Foot,No,Male,Black,0
No,Allegedly Armed,gun,Not fleeing,Yes,Male,White,0
No,Unarmed/Did Not Have an Actual Weapon,others,Car,Yes,Male,Hispanic,3
No,Vehicle,vehicle,Car,No,Male,Hispanic,0
No,Allegedly Armed,gun,Car,No,Male,Hispanic,0
No,Allegedly Armed,others,Not fleeing,No,Male,Black,0
No,Allegedly Armed,gun,Car,No,Male,White,0
No,Allegedly Armed,gun,Not fleeing,Inputed No,Male,Unknown race,0
Yes,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Female,White,1
No,Vehicle,vehicle,Car,No,Male,Black,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
Yes,Unclear,others,Not fleeing,Yes,Male,Native American,1
No,Allegedly Armed,others,Not fleeing,No,Male,Black,0
Drug or alcohol use,Allegedly Armed,others,Not fleeing,Yes,Male,Unknown race,0
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,White,3
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
No,Unclear,undetermined,Car,No,Male,White,0
No,Unclear,undetermined,Car,No,Male,White,0
No,Allegedly Armed,others,Not fleeing,No,Male,Black,0
No,Allegedly Armed,knife,Not fleeing,No,Male,White,0
No,Allegedly Armed,gun,Car,Yes,Male,Hispanic,0
No,Unclear,others,Not fleeing,No,Male,White,0
No,Allegedly Armed,gun,Not fleeing,Yes,Male,Black,0
Unknown,Unclear,undetermined,Car,No,Male,Unknown race,0
No,Allegedly Armed,gun,Not fleeing,No,Female,White,0
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White,1
No,Unclear,undetermined,Inputed NF,Inputed No,Male,Native American,2
No,Vehicle,vehicle,Car,No,Male,Black,0
Yes,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,Black,1
No,Unclear,undetermined,Other,No,Male,White,0
No,Unclear,undetermined,Not fleeing,No,Male,Black,0
No,Unclear,undetermined,Car,No,Male,White,0
No,Unclear,undetermined,Inputed NF,Inputed No,Male,Unknown race,2
No,Vehicle,vehicle,Car,No,Male,White,0
No,Allegedly Armed,gun,Foot,No,Male,Black,0
No,Allegedly Armed,gun,Foot,No,Male,White,0
No,Allegedly Armed,knife,Inputed NF,No,Male,White,0
Unknown,Allegedly Armed,knife,Not fleeing,No,Male,Unknown race,0
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,Black,0
No,Vehicle,vehicle,Not fleeing,No,Male,Unknown race,0
No,Allegedly Armed,gun,Inputed NF,No,Male,Hispanic,0
Yes,Allegedly Armed,knife,Not fleeing,No,Male,Hispanic,1
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,White,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race,0
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Unknown race,3
No,Allegedly Armed,knife,Not fleeing,No,Male,Black,0
No,Allegedly Armed,knife,Not fleeing,No,Male,White,0
No,Allegedly Armed,gun,Inputed NF,No,Male,Unknown race,0
No,Allegedly Armed,knife,Not fleeing,No,Male,Native American,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
No,Vehicle,vehicle,Not fleeing,No,Female,Pacific Islander,0
No,Allegedly Armed,knife,Inputed NF,No,Male,Black,0
No,Allegedly Armed,gun,Car,No,Male,Unknown race,0
No,Allegedly Armed,vehicle,Inputed NF,Inputed No,Male,Unknown race,2
Yes,Allegedly Armed,gun,Foot,Yes,Male,White,1
Yes,Allegedly Armed,knife,Not fleeing,Yes,Male,Unknown race,1
No,Allegedly Armed,knife,Not fleeing,No,Male,White,0
No,Allegedly Armed,gun,Not fleeing,Yes,Male,Black,0
No,Allegedly Armed,gun,Car,No,Male,Black,0
No,Allegedly Armed,gun,Not fleeing,No,Female,White,0
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
No,Allegedly Armed,knife,Foot,No,Male,Hispanic,0
No,Allegedly Armed,gun,Car,No,Male,White,0
No,Vehicle,vehicle,Car,No,Male,White,0
No,Vehicle,vehicle,Car,No,Male,White,0
No,Allegedly Armed,others,Not fleeing,Yes,Male,Unknown race,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
Yes,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,White,1
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
No,Allegedly Armed,gun,Foot,No,Male,White,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
No,Allegedly Armed,knife,Inputed NF,No,Male,White,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Black,1
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Black,3
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
No,Vehicle,vehicle,Not fleeing,No,Female,Black,0
Yes,Allegedly Armed,knife,Foot,Yes,Male,White,1
No,Allegedly Armed,others,Inputed NF,Inputed No,Male,Unknown race,2
Yes,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,White,1
No,Allegedly Armed,gun,Inputed NF,No,Male,Black,0
Yes,Allegedly Armed,others,Not fleeing,No,Male,White,1
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
No,Allegedly Armed,others,Inputed NF,No,Male,White,0
No,Unclear,undetermined,Car,No,Male,White,0
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black,2
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
No,Allegedly Armed,others,Car,No,Male,White,0
No,Allegedly Armed,gun,Foot,No,Male,Hispanic,0
No,Allegedly Armed,knife,Not fleeing,No,Male,Hispanic,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
Yes,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Unknown race,3
No,Unclear,undetermined,Not fleeing,No,Male,White,0
No,Vehicle,vehicle,Car,No,Male,Black,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black,2
No,Allegedly Armed,knife,Not fleeing,No,Male,Hispanic,0
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
No,Allegedly Armed,others,Not fleeing,No,Male,White,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic,0
No,Allegedly Armed,gun,Not fleeing,Yes,Male,Black,0
No,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Unknown race,2
Yes,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,White,3
Yes,Vehicle,vehicle,Not fleeing,Yes,Male,Unknown race,1
No,Allegedly Armed,gun,Foot,Yes,Male,White,0
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Car,No,Male,Hispanic,0
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Hispanic,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Asian,2
No,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Unknown race,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,White,3
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Hispanic,3
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White,1
No,Allegedly Armed,gun,Foot,No,Male,White,0
Yes,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Unknown race,3
No,Allegedly Armed,gun,Foot,No,Male,Hispanic,0
Yes,Allegedly Armed,knife,Not fleeing,Yes,Female,White,1
No,Vehicle,vehicle,Car,No,Male,White,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic,0
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race,0
No,Unclear,others,Not fleeing,No,Male,White,0
No,Allegedly Armed,gun,Not fleeing,Yes,Male,White,0
No,Allegedly Armed,gun,Not fleeing,Inputed No,Male,Unknown race,0
No,Allegedly Armed,knife,Not fleeing,No,Male,White,0
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Black,3
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Female,Hispanic,3
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black,2
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
No,Allegedly Armed,others,Inputed NF,Inputed No,Male,Hispanic,2
No,Allegedly Armed,gun,Not fleeing,Inputed No,Male,Black,0
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Transgender,Hispanic,3
No,Unclear,undetermined,Inputed NF,Inputed No,Male,Unknown race,2
No,Allegedly Armed,others,Not fleeing,Yes,Male,Unknown race,0
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Female,White,3
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
No,Allegedly Armed,gun,Not fleeing,Yes,Male,Hispanic,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
No,Allegedly Armed,gun,Inputed NF,No,Male,White,0
Yes,Allegedly Armed,others,Not fleeing,No,Male,Unknown race,1
Unknown,Allegedly Armed,gun,Foot,No,Male,White,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
No,Allegedly Armed,others,Not fleeing,No,Female,Black,0
No,Unclear,others,Not fleeing,No,Male,Unknown race,0
No,Allegedly Armed,gun,Not fleeing,Inputed No,Male,Unknown race,0
No,Allegedly Armed,gun,Inputed NF,No,Male,Black,0
No,Allegedly Armed,others,Inputed NF,Inputed No,Male,Unknown race,2
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
No,Allegedly Armed,gun,Not fleeing,Inputed No,Male,Hispanic,0
No,Allegedly Armed,gun,Car,Inputed No,Male,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Female,White,2
No,Unarmed/Did Not Have an Actual Weapon,others,Foot,No,Male,Black,0
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Inputed No,Male,Black,3
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,Black,0
No,Unclear,undetermined,Car,No,Male,White,0
No,Allegedly Armed,knife,Not fleeing,No,Male,White,0
No,Allegedly Armed,gun,Foot,No,Male,Black,0
Unknown,Allegedly Armed,knife,Not fleeing,No,Male,White,0
No,Allegedly Armed,gun,Inputed NF,No,Male,Hispanic,0
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Inputed No,Female,White,3
No,Vehicle,vehicle,Car,No,Male,Black,0
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White,1
No,Allegedly Armed,gun,Not fleeing,Yes,Male,White,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
No,Allegedly Armed,gun,Not fleeing,No,Female,White,0
Yes,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Female,Hispanic,1
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
No,Vehicle,vehicle,Car,No,Male,Black,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
No,Allegedly Armed,gun,Not fleeing,Inputed No,Male,Black,0
No,Unclear,undetermined,Not fleeing,No,Male,Hispanic,0
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
No,Allegedly Armed,others,Car,No,Male,White,0
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White,1
No,Allegedly Armed,gun,Not fleeing,Inputed No,Male,White,0
No,Allegedly Armed,gun,Not fleeing,Inputed No,Male,Unknown race,0
No,Unclear,undetermined,Inputed NF,Inputed No,Male,Unknown race,2
No,Unclear,undetermined,Foot,Inputed No,Male,Unknown race,2
Unknown,Allegedly Armed,knife,Not fleeing,Inputed No,Male,Hispanic,0
Yes,Allegedly Armed,gun,Not fleeing,No,Female,White,1
No,Allegedly Armed,gun,Not fleeing,Inputed No,Male,Unknown race,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
No,Allegedly Armed,gun,Car,No,Female,White,0
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Unknown race,3
No,Vehicle,vehicle,Not fleeing,Inputed No,Male,Unknown race,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
No,Allegedly Armed,knife,Inputed NF,No,Male,Hispanic,0
Yes,Allegedly Armed,others,Not fleeing,No,Male,White,1
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Black,3
No,Vehicle,vehicle,Car,Inputed No,Male,Unknown race,2
No,Allegedly Armed,others,Not fleeing,No,Female,White,0
